CODIGO_TRK,CODIGO_SAP
6103,VPTU0103
6102,VPTU0102
6101,VPTU0101
6100,VPTU0100
6089,VPTU0089
6088,VPTU0088
6087,VPTU0087
6086,VPTU0086
6085,VPTU0085
6064,VPTU0064
6063,VPTU0063
6056,VPTU0056
6053,VPTU0053
6051,VPTU0051
6050,VPTU0050
6049,VPTU0049
6044,VPTU0044
6031,VPTU0031
6022,VPTU0022
6010,VPTU0010
6009,VPTU0009
8998,VPAC0998
8994,VPAC0994
8990,VPAC0990
8984,VPAC0984
8982,VPAC0982
8956,VPAC0956
8952,VPAC0952
8950,VPAC0950
8921,VPAC0921
8920,VPAC0920
8892,VPAC0892
8883,VPAC0883
8861,VPAC0861
8854,VPAC0854
8835,VPAC0835
8830,VPAC0830
8802,VPAC0802
8764,VPAC0764
8763,VPAC0763
8762,VPAC0762
8759,VPAC0759
8758,VPAC0758
8729,VPAC0729
8728,VPAC0728
8725,VPAC0725
8706,VPAC0706
8704,VPAC0704
8674,VPAC0674
8671,VPAC0671
8669,VPAC0669
8664,VPAC0664
8643,VPAC0643
8633,VPAC0633
8620,VPAC0620
8603,VPAC0603
8374,VPAC0374
8174,VPAC0174
8173,VPAC0173
8172,VPAC0172
8171,VPAC0171
8168,VPAC0168
8167,VPAC0167
8166,VPAC0166
8164,VPAC0164
8163,VPAC0163
8155,VPAC0155
8153,VPAC0153
8149,VPAC0149
8104,VPAC0104
8102,VPAC0102
8100,VPAC0100
8099,VPAC0099
8098,VPAC0098
8096,VPAC0096
8092,VPAC0092
8091,VPAC0091
8090,VPAC0090
8089,VPAC0089
8086,VPAC0086
8080,VPAC0080
8079,VPAC0079
8075,VPAC0075
8072,VPAC0072
8071,VPAC0071
8070,VPAC0070
8069,VPAC0069
8068,VPAC0068
8049,VPAC0049
8044,VPAC0044
8043,VPAC0043
8038,VPAC0038
8037,VPAC0037
8036,VPAC0036
8035,VPAC0035
8034,VPAC0034
8033,VPAC0033
8030,VPAC0030
8021,VPAC0021
8019,VPAC0019
8018,VPAC0018
8016,VPAC0016
8015,VPAC0015
8014,VPAC0014
8013,VPAC0013
8010,VPAC0010
8009,VPAC0009
8007,VPAC0007
8005,VPAC0005
90002,V2273872
90001,V2273871
250381,V2273866
210863,V2108634
998916,ET9989161
998912,ET9989129
998906,ET9989064
998902,ET9989021
957,ET9571
953,ET9539
939,ET9393
935,ET9350
934,ET9342
929,ET9296
927,ET927K
925,ET9253
924,ET9245
919,ET9199
917,ET9172
915,ET9156
914,ET9148
909,ET9091
905,ET9059
870696,ET8756964
875515,ET8755159
875514,ET8755140
875409,ET8754098
875408,ET875408K
875407,ET8754071
875406,ET8754063
875389,ET875389K
875388,ET8753881
